source,target,fraud_ring_edge,timestamp,amount
0,1,0,543,1528.3888906945315
0,2,0,393,4331.618120830697
0,3,0,171,5691.807290065229
0,4,0,246,6960.945858882845
0,5,0,550,8423.586860966385
0,6,0,900,6405.784090622976
0,7,0,660,5488.584512069244
0,8,0,132,299.65269840495955
0,9,0,903,9763.389809505274
0,10,0,37,5921.744929197779
0,11,0,326,7660.767161269814
0,17,0,342,1650.5988630996128
0,19,0,922,2771.3439032825936
0,20,0,728,6455.569854860769
0,28,0,233,4088.3103952790416
0,37,0,530,1998.6695174191157
0,43,0,807,3982.080247096038
0,50,0,300,8094.101459806549
0,53,0,771,2353.255201439648
0,58,0,120,2812.7773410517966
0,61,0,937,9517.411729977062
0,63,0,707,3057.295593129369
0,64,0,368,9002.089848764428
0,65,0,373,7016.379979801794
0,68,0,136,8407.36638408864
0,69,0,658,5966.332116960843
0,71,0,823,3092.456649602258
0,86,0,112,7933.96114451984
0,88,0,942,6582.839813824535
0,91,0,333,4746.181613647696
0,93,0,399,6269.161894820303
0,101,0,671,9987.094895433733
0,108,0,457,700.0724315058678
0,120,0,371,3837.276722017727
0,136,0,988,6887.243862952116
0,137,0,720,4398.066834852888
0,138,0,293,1082.1819572467462
0,143,0,471,8497.884888308761
0,155,0,28,7721.7057709478695
0,160,0,516,1470.4817586179188
0,161,0,972,651.0924297010527
0,164,0,518,313.7366725495473
0,175,0,671,3771.6016078642265
0,182,0,872,817.3014023061859
0,189,0,877,6950.600676280409
0,199,0,809,5777.52432648451
0,211,0,758,5912.588372553544
0,242,0,584,3287.8343340612505
0,243,0,673,2951.0327946026046
0,264,0,579,310.09935160956957
0,287,0,917,6565.506389829733
0,289,0,163,2332.4048913333636
0,294,0,776,270.79171224277314
0,369,0,84,2216.3066847975633
0,381,0,980,2915.38168001671
0,397,0,770,4762.784401324309
0,399,0,877,6110.7119143154305
0,452,0,548,5587.580428443452
0,457,0,853,4616.557118337155
0,478,0,440,3350.7577663869533
0,480,0,190,4147.197981172684
0,489,0,48,1459.916811209878
0,493,0,490,4960.494921587989
0,514,0,888,8071.49931703394
0,527,0,197,1295.3116457812089
0,535,0,319,3597.063383657679
0,547,0,924,5190.4171131961775
0,583,0,872,646.3655609166817
0,610,0,892,9657.768830514722
0,631,0,248,310.9147839748099
0,654,0,19,7358.411564100662
0,659,0,265,3327.367599834659
0,666,0,935,8390.464364476178
0,669,0,582,832.7781322405267
0,674,0,581,9074.796204379925
0,678,0,631,8512.366315573105
0,735,0,463,3423.83172195301
0,761,0,778,8259.730990419417
0,765,0,35,1753.4338953918534
0,781,0,512,7899.764549460019
0,806,0,257,6674.008440260133
0,816,0,829,1125.6612053503459
0,831,0,25,9428.9730647764
0,842,0,418,3897.4762238515077
0,866,0,682,6090.71196891152
0,873,0,863,2415.1573630168446
0,880,0,326,2780.5335495716854
0,902,0,612,7958.179592921059
0,916,0,716,3254.797759823406
0,960,0,668,8992.545299997159
0,962,0,185,6169.761082220355
0,982,0,923,9140.721412297306
0,990,0,636,3770.7157679706634
0,1001,0,776,3411.4780627792047
0,1005,0,53,6442.452256925543
0,1049,0,131,4632.223856603197
0,1051,0,186,7311.869078157767
0,1062,0,471,6212.360316933579
0,1077,0,906,6466.568110967119
0,1113,0,892,1727.5295771114202
0,1139,0,873,444.3880593908489
0,1146,0,951,3029.054183509791
0,1170,0,106,7717.3039034483045
0,1178,0,743,3460.668564138309
0,1202,0,65,6955.0947764596185
0,1205,0,197,4177.417220583081
0,1219,0,59,794.0327151876448
0,1231,0,880,4229.565436178033
0,1306,0,706,8437.570596779477
0,1322,0,304,617.2029801918275
0,1347,0,243,4722.258608963924
0,1356,0,267,5887.811170611376
0,1393,0,861,7926.893132608421
0,1420,0,895,4504.793192417735
0,1429,0,917,313.0971427097004
0,1508,0,385,6590.11435163321
0,1605,0,624,2371.5515661383893
0,1614,0,926,3007.3488548316427
0,1622,0,3,4505.7974199631535
0,1634,0,474,6815.027330483082
0,1639,0,353,4589.969346046601
0,1655,0,286,8414.739369028495
0,1657,0,363,632.6432593934826
0,1678,0,258,6851.911034711996
0,1687,0,966,158.7522261599315
0,1702,0,323,7124.312411632758
0,1709,0,844,7856.950659836344
0,1825,0,133,9315.84469221627
0,1858,0,96,2140.6701667444045
0,1869,0,51,3912.370408847694
0,1887,0,133,1042.9174213379422
0,1901,0,16,7002.798209314764
0,1909,0,95,6076.735858224362
0,1921,0,279,3136.7226500629017
0,1923,0,949,4289.358466169194
0,1944,0,428,118.2019794836641
0,1958,0,453,4542.634697136693
0,1973,0,216,5314.87024708211
0,1975,0,877,8942.28422291797
0,2103,0,618,9770.166049424257
0,2134,0,423,8947.98159565451
0,2187,0,549,1511.534864807972
0,2218,0,492,9271.373465660494
0,2274,0,909,5534.000613290251
