risk_level,transaction_volume
0,462.08616041937074
1,525.6559755949335
0,1486.6309440695115
0,1228.0244248089148
2,404.23504474354587
2,2287.8389092158695
1,876.1447479448242
0,2127.6584041393453
0,624.2067256352394
1,388.53795242942977
0,2879.82886815228
2,14.096180755333265
0,873.074992062416
0,329.68220808445676
2,975.7053597939406
0,380.68077957310305
1,384.9384662481181
0,456.42495960448554
2,1672.7697286350603
2,292.6739875170234
1,1364.976016963736
2,348.98649720063645
2,532.9753132378473
2,193.68174087805443
0,86.53238535782657
2,548.3760085787322
0,1664.2359461693434
1,3113.3650117754632
0,1050.161048017952
0,395.55997371220025
0,1205.4493268164283
1,410.13528717847703
0,622.2914951796764
0,1357.8916279646096
0,3566.9670189964268
0,361.72226212601015
0,1172.6574273659323
0,482.5073219608325
0,316.43696720196584
0,475.7340716435176
0,2655.6257788650933
2,217.03425737592207
2,759.5392355999627
0,524.6962563991983
2,2841.717619373207
2,2461.9507224021163
2,2233.3596866914663
0,1353.2500806358607
2,84.11809418972902
2,711.8706180797475
0,2099.8580891814963
1,1222.659342765177
2,816.5367571703379
2,79.90641565808721
2,641.9394345280715
0,623.4366831176013
0,975.0098405459399
0,86.37728820840651
0,362.1900174532642
1,2322.7519526762985
1,75.32485531900637
0,2603.0810048800718
2,1451.1766057057127
0,406.148910831497
2,900.5495290948941
2,2147.3488678092563
0,2859.211449672404
0,1716.199511417158
2,1450.2658431362652
2,5070.086560781394
0,929.6145965615945
0,540.0654219358906
0,1703.6122922946213
1,117.45462685850762
0,1237.8092576060164
2,850.6813480488298
0,279.57906670665216
0,3145.1864436467313
0,724.5251663127385
0,847.4949226630595
2,94.55784639208142
0,894.328248486549
0,244.90178633437296
0,337.1362257816224
2,4004.2714712154366
0,1011.043357279841
0,168.7031342319295
2,1041.5278797508367
1,969.4917981324079
0,770.307206348934
2,104.40211919958263
2,317.3123702653136
2,138.9850423071599
0,2917.78312202079
1,637.152777836208
2,81.11992630175742
0,507.01912085604425
0,1585.4537516091252
0,56.22157980210869
0,113.54538437230045
0,153.9323686353173
0,140.18706895361268
2,472.9307542076965
0,216.33828982665614
0,791.3987257157542
0,580.7963642927356
0,1159.5457687757778
0,602.1875423029853
2,859.9464725676335
0,794.1210843552059
0,854.2450558619876
0,1081.6327639935403
2,250.21611638678604
2,1821.1902241258406
0,894.5700116681116
0,1272.0997724069307
0,2600.74403693492
0,1815.5511580799082
0,116.25834261576385
2,124.73975355198687
0,33.98127999768455
2,261.8019841476951
2,1462.1123710417792
2,787.7530244254808
